,road_number,origin_address,destination_address,distance,watercrossing,origin_lat,origin_long,destination_lat,destination_long,origin_lat_rad,origin_long_rad,destination_lat_rad,destination_long_rad
420,E45,"Frederikshavn, Denmark","Ålborg, Denmark",65,False,57.4412134,10.5336225,57.0462626,9.9215263,1.0025383001706867,0.1838463947871564,0.9956451083273009,0.17316330075821068
421,E45,"Brennerpaß, Austria","Passo di Brennero, Italy",0,False,47.0073993,11.5066996,46.9620652,11.51496,0.8204338905846777,0.20082979405791448,0.8196426612762492,0.20097396523544625
422,E45,"Innsbruck, Austria","Brennerpaß, Austria",36,False,47.2654296,11.3927685,47.0073993,11.5066996,0.8249373688895865,0.19884132124249562,0.8204338905846777,0.20082979405791448
423,E45,"Salerno, Italy","Sicignano degli Alburni, Italy",65,False,40.419441649999996,15.310756230322482,40.5810419,15.300396408040797,0.7054523386102294,0.2672231071893626,0.7082727950447755,0.2670422941806257
424,E45,"Rosenheim, Germany","Wörgl, Austria",53,False,47.8539273,12.127262,47.48033265,12.07928067668956,0.8352085913950003,0.21166065115199256,0.8286881346846644,0.2108232190807615
425,E45,"München, Germany","Rosenheim, Germany",72,False,48.1371079,11.5753822,47.8539273,12.127262,0.8401510252427733,0.20202853156674475,0.8352085913950003,0.21166065115199256
426,E45,"Wörgl, Austria","Innsbruck, Austria",60,False,47.48033265,12.07928067668956,47.2654296,11.3927685,0.8286881346846644,0.2108232190807615,0.8249373688895865,0.19884132124249562
427,E45,"Kolding, Denmark","Frøslev, Denmark",80,False,55.4894999,9.47905,56.8028447,8.7330983,0.9684744735400642,0.16544063246116852,0.9913966645140107,0.1524213192353195
428,E45,"Frøslev, Denmark","Flensburg, Germany",8,False,56.8028447,8.7330983,54.7833021,9.4333264,0.9913966645140107,0.1524213192353195,0.9561489967597238,0.16464260509530362
429,E46,"Caen, France","Rouen, France",122,False,49.1813403,-0.3635615,49.4404591,1.0939658,0.8583763187787757,-0.006345345208489363,0.8628987949925924,0.019093305114213786
430,E46,"Charleville-Mézières, France","Liège, Belgium",178,False,49.7735712,4.7206939,50.6451381,5.5734203,0.8687126979158251,0.08239165153381194,0.8839244099722251,0.09727453483249013
431,E46,"Cherbourg, France","Caen, France",122,False,49.51271975,-1.5755441090380597,49.1813403,-0.3635615,0.8641599812547237,-0.027498432213114692,0.8583763187787757,-0.006345345208489363
432,E46,"Reims, France","Charleville-Mézières, France",87,False,49.2577886,4.031926,49.7735712,4.7206939,0.859710593321328,0.0703703838967649,0.8687126979158251,0.08239165153381194
433,E46,"Rouen, France","Reims, France",244,False,49.4404591,1.0939658,49.2577886,4.031926,0.8628987949925924,0.019093305114213786,0.859710593321328,0.0703703838967649
434,E47,"Helsingør, Denmark","København, Denmark",47,False,56.0348739,12.6130073,55.6867243,12.5700724,0.9779930454948358,0.22013850596308018,0.9719166886853345,0.21938915059406566
