,u,v
1502,495,838
1503,495,494
1504,496,489
1505,496,388
1506,496,495
1507,497,822
1508,497,468
1509,497,494
1510,498,501
1511,498,398
1512,499,801
1513,499,410
1514,499,398
1515,500,410
1516,500,859
1517,501,498
1518,501,339
1519,502,507
1520,502,508
1521,503,504
1522,503,135
1523,504,505
1524,504,755
1525,504,753
1526,504,503
1527,505,504
1528,505,640
1529,505,643
1530,505,213
1531,506,552
1532,506,553
1533,506,213
1534,506,278
1535,507,278
1536,507,502
1537,508,509
1538,508,502
1539,509,772
1540,509,492
1541,509,508
1542,509,365
1543,510,529
1544,510,627
1545,510,430
1546,510,511
1547,511,513
1548,511,583
1549,511,585
1550,511,812
1551,511,510
1552,512,424
1553,512,513
1554,512,523
1555,513,512
1556,513,426
1557,513,535
1558,513,511
1559,514,53
1560,515,520
1561,515,89
1562,515,177
1563,515,886
1564,516,521
1565,516,870
1566,516,718
1567,516,519
1568,517,34
1569,517,829
1570,517,518
1571,518,10
1572,518,517
1573,519,668
1574,519,674
1575,519,516
1576,519,525
1577,520,515
1578,520,453
1579,521,522
1580,521,516
1581,522,521
1582,522,726
1583,523,512
1584,523,524
1585,523,817
1586,523,534
1587,523,567
1588,524,523
1589,524,535
1590,525,648
1591,525,526
1592,525,519
1593,526,525
1594,526,527
1595,527,528
1596,527,526
1597,527,631
1598,528,423
1599,528,527
1600,529,531
1601,529,430
1602,529,510
1603,529,423
1604,530,531
1605,530,533
1606,530,567
1607,531,529
1608,531,530
1609,531,580
1610,531,581
1611,532,244
1612,532,445
1613,532,335
1614,533,530
1615,533,535
1616,534,545
1617,534,523
1618,534,485
1619,534,542
1620,535,513
1621,535,524
1622,535,533
1623,536,424
1624,536,361
1625,537,424
1626,537,483
1627,538,806
1628,538,539
1629,538,486
1630,539,488
1631,539,538
1632,540,489
1633,540,543
1634,541,544
1635,541,424
1636,542,534
1637,542,543
1638,543,808
1639,543,540
1640,543,542
1641,543,815
1642,544,545
1643,544,541
1644,545,544
1645,545,810
1646,545,534
1647,546,547
1648,546,548
1649,547,546
1650,547,173
1651,548,546
1652,548,620
1653,548,621
1654,549,552
1655,549,550
1656,550,207
1657,550,549
1658,550,551
1659,551,192
1660,551,122
1661,551,573
1662,551,550
1663,552,506
1664,552,549
1665,553,506
1666,553,554
1667,554,267
1668,554,553
1669,554,555
1670,554,772
1671,555,554
1672,555,772
1673,555,478
1674,556,459
1675,556,557
1676,556,463
1677,557,456
1678,557,571
1679,557,556
1680,558,122
1681,558,451
1682,559,860
1683,560,570
1684,560,20
1685,560,564
1686,561,562
1687,561,468
1688,562,561
1689,562,563
1690,563,455
1691,563,457
1692,563,683
1693,563,588
1694,563,562
1695,564,560
1696,564,451
1697,565,457
1698,565,459
1699,566,840
1700,566,468
1701,566,567
1702,567,609
1703,567,523
1704,567,590
1705,567,530
1706,567,566
1707,568,571
1708,568,861
1709,569,448
1710,570,448
1711,570,560
1712,571,568
1713,571,557
1714,572,242
1715,572,611
1716,572,623
1717,573,213
1718,573,551
1719,574,577
1720,574,575
1721,575,267
1722,575,574
1723,576,761
1724,576,267
1725,576,213
1726,577,424
1727,577,361
1728,577,478
1729,577,574
1730,578,611
1731,578,610
1732,578,243
1733,579,243
1734,579,396
1735,580,531
1736,580,582
1737,581,585
1738,581,531
1739,582,584
1740,582,580
1741,583,426
1742,583,511
1743,584,589
1744,584,582
1745,585,581
1746,585,511
1747,586,840
1748,586,587
1749,586,589
1750,586,590
1751,586,597
1752,587,586
1753,587,588
1754,588,563
1755,588,587
1756,589,584
1757,589,633
1758,589,586
1759,590,586
1760,590,567
1761,591,592
1762,591,599
1763,592,593
1764,592,591
1765,593,592
1766,593,594
1767,594,593
1768,594,634
1769,594,598
1770,595,596
1771,595,598
1772,596,646
1773,596,595
1774,596,597
1775,596,645
1776,597,586
1777,597,596
1778,598,672
1779,598,594
1780,598,595
1781,598,669
1782,599,600
1783,599,591
1784,600,601
1785,600,678
1786,600,599
1787,601,600
1788,601,602
1789,602,601
1790,602,603
1791,603,602
1792,603,604
1793,604,603
1794,604,605
1795,604,677
1796,605,604
1797,605,606
1798,606,727
1799,606,605
1800,606,607
1801,607,608
1802,607,606
1803,608,617
1804,608,607
1805,609,839
1806,609,494
1807,609,567
1808,610,578
1809,610,243
1810,610,388
1811,610,325
1812,611,578
1813,611,572
1814,612,8
1815,612,613
1816,613,612
1817,613,5
1818,614,628
1819,614,5
1820,614,6
1821,614,615
1822,615,616
1823,615,825
1824,615,630
1825,615,614
1826,616,618
1827,616,615
1828,617,608
1829,617,862
1830,618,616
1831,618,33
1832,618,828
1833,619,91
1834,619,620
1835,620,619
1836,620,548
1837,621,548
1838,621,863
1839,622,623
1840,622,173
1841,622,445
1842,623,572
1843,623,622
1844,623,231
1845,624,625
